unique_id,ds,y
Austria,2016-03-01,24.5
Austria,2016-03-02,24.44
Austria,2016-03-03,28.28
Austria,2016-03-04,24.76
Austria,2016-03-05,23.19
Austria,2016-03-06,21.39
Austria,2016-03-07,29.44
Austria,2016-03-08,28.42
Austria,2016-03-09,25.58
Austria,2016-03-10,26.25
Austria,2016-03-11,28.21
Austria,2016-03-12,27.71
Austria,2016-03-13,22.75
Austria,2016-03-14,27.4
Austria,2016-03-15,27.15
Austria,2016-03-16,25.49
Austria,2016-03-17,27.52
Austria,2016-03-18,25.37
Austria,2016-03-19,24.31
Austria,2016-03-20,18.01
Austria,2016-03-21,25.28
Austria,2016-03-22,28.46
Austria,2016-03-23,26.47
Austria,2016-03-24,27.86
Austria,2016-03-25,25.63
Austria,2016-03-26,19.23
Austria,2016-03-27,10.55
Austria,2016-03-28,1.5
Austria,2016-03-29,23.16
Austria,2016-03-30,27.14
Austria,2016-03-31,27.81
Austria,2016-04-01,27.63
Austria,2016-04-02,21.27
Austria,2016-04-03,17.81
Austria,2016-04-04,27.21
Austria,2016-04-05,26.75
Austria,2016-04-06,22.34
Austria,2016-04-07,23.35
Austria,2016-04-08,28.66
Austria,2016-04-09,23.66
Austria,2016-04-10,18.84
Austria,2016-04-11,24.22
Austria,2016-04-12,28.34
Austria,2016-04-13,28.57
Austria,2016-04-14,26.66
Austria,2016-04-15,25.14
Austria,2016-04-16,18.73
Austria,2016-04-17,18.71
Austria,2016-04-18,23.77
Austria,2016-04-19,20.54
Austria,2016-04-20,24.12
Austria,2016-04-21,26.57
Austria,2016-04-22,26.06
Austria,2016-04-23,21.9
Austria,2016-04-24,16.0
Austria,2016-04-25,26.43
Austria,2016-04-26,27.11
Austria,2016-04-27,26.13
Austria,2016-04-28,30.1
Austria,2016-04-29,25.53
Austria,2016-04-30,24.17
Austria,2016-05-01,18.71
Austria,2016-05-02,28.02
Austria,2016-05-03,28.22
Austria,2016-05-04,27.39
Austria,2016-05-05,19.21
Austria,2016-05-06,22.4
Austria,2016-05-07,14.25
Austria,2016-05-08,-12.78
Austria,2016-05-09,22.26
Austria,2016-05-10,27.01
Austria,2016-05-11,24.84
Austria,2016-05-12,25.6
Austria,2016-05-13,26.63
Austria,2016-05-14,13.1
Austria,2016-05-15,7.47
